Month,Qualified Conversations (N),Average Deal Value (B),Purchase Frequency (F),Notes
Jan,,,,
Feb,,,,
Mar,,,,
Apr,,,,
May,,,,
Jun,,,,
Jul,,,,
Aug,,,,
Sep,,,,
Oct,,,,
Nov,,,,
Dec,,,,
